REPO_URL,TASK_ID,#HASHES,HASHES,#PROD_FILES,#TEST_FILES,LAST,MERGE,BASE
https://github.com/BTHUNTERCN/bsmi.git,31,12,"[d8437823ff9e718c172088a9bbc508d4ec58d34c, 3a32a9950979a23e6fc8dd53cb35b57a85bba2bb, f59c38e0a1049b65b6c43c3735429517dca1106f, 358bde399bf7c90bcc6b5a1ed0d7e414d275f825, 791bf614695427a874b62a00c37b933f7209c395, 1d7a7f0abf643d6a3185ccd935600317a12caa9a, 299b007f551c502d2a182ce9cb8b8450d8e5d4be, a6c2e8c0506e4e26b0a06b398960db9a90962173, e6907b56d531fd6594da3a9e183733842ed6adde, 26830533be000078f96dc349898a8fd6f2a52cb9, 0297c63f32cabe31452c22a96bc4786bc0832bb8, d37e0b0303a8eac32c8ce1e77716a595e8ad554d]",8,1,d8437823ff9e718c172088a9bbc508d4ec58d34c,4de8f772cbfb8cf84913a4fea9ec0c775bdf65f8,d5f381861ab65d0009e191c20c4204f0c6d94cb4
https://github.com/BTHUNTERCN/bsmi.git,73,3,"[b4856cc7aec4b4b8997e85ba2f1f4acf55373f07, 9ff0f5d5c9509d7b01ab2235ab3a81281ef06651, 53ed44a631c99ca90cf1b4c1a089d6cb4847bfd5]",5,2,b4856cc7aec4b4b8997e85ba2f1f4acf55373f07,4b1100e09f0a64e294c5b24a4818a8930fb4f0f6,5082427863801b18951e2d0e8358fe0f65d51f45
https://github.com/BTHUNTERCN/bsmi.git,157,5,"[25624ef39dc416d77ad237ec38d4ed1553a25c4f, 5be80bcf6a5103792f176a63b4e22606863c8246, ad2ae6100639b6c844d9c3b6e060aa4c7a3b09c9, 908e78f091396d8e67c8fb18a004e68fa0dee7a2, 650ca0250b4ec763eed52333d251fa039591adc1]",3,1,25624ef39dc416d77ad237ec38d4ed1553a25c4f,9798703f139b605f921da49521db3afcd6c5ca91,02d762b83e626c647f19c0b7406bc1ba2de2d89d
https://github.com/EFForg/action-center-platform.git,201,1,[2103b6e4630aea2153f028c4c0f8ab9c386a55c8],28,5,2103b6e4630aea2153f028c4c0f8ab9c386a55c8,4be1376aa24f8ce05fa9e0d25111e2b01b16501a,3986ff039bfd54cc0698e0c6d141ec0bfa7d1983
https://github.com/EFForg/action-center-platform.git,147,11,"[fa010b744b6fc2e5d6a0c97e23359507c083c54b, b282860de710b27efbb109a6cea8a041d291e833, ef1148bb27951e2d905f7524bf166b3c379a6b03, 2e6240c2ac5ff745f5279ec6864c4cdd0ae0bba3, e1b246f0cefcc5ca7a45cc99ea5d8852576b5ada, 00b3a7589471eab128f6589922566e52c754a00e, 0194c9c4879275217f65d7d1001b46490891a095, f8add2b071313f8397bb80519519418aedb2460f, d9bc77877185b0c7f8ed21f8e10f007ea0eb19d3, e25f21fb91e2900e55696bdd31801b11fae70cce, 10ca10d879f7fb7c1762aa6b665b297930aec10a]",5,2,fa010b744b6fc2e5d6a0c97e23359507c083c54b,076e3558eaa6a07c95f167487365d09eeb60af3b,0806fb92eb2178a31dec72df57b4d75979fbfe17
https://github.com/EFForg/action-center-platform.git,207,7,"[d46e80f27fa23b078f7aae2367447b24d44147a8, 6282e7c176923504a7b628e9369d464b6f2bfd33, bb5d671b17180f5292586e7f70c42e26356f51a1, 44fa35b419d45ae7534afe63f71be18af33ac2d6, a300e68229fa4f474ff32e272ca3fb26ff08a094, de7968cf59d954b9ee94d8d07341795b327359d9, 9dadd23422e4fd0d18c65f0b9ebf470593b7a03e]",12,4,d46e80f27fa23b078f7aae2367447b24d44147a8,d0774d378571f3ce5a8aae2ccb9e99db37815e15,c2360f56486eeae9cfe5eb4e47604ef5b408f212
https://github.com/EFForg/action-center-platform.git,120,8,"[e34f1a9d77fb81c98ba365177a8fc7a8931b0247, a77bcdb428db6c41db378ef3b8d4b2897fd6f5ba, e34948c4e7b7238bdcd8d5f10fdc48d3432e849b, c765743b3333917bf48678a137dc0ee18592bd86, deaf8b20dd3292df19fe5c2ec5c797643de10187, 96da408564adb6f7dc00af42e937e98921f24c50, 54555f3bf34707d94a3b8c27e20701835b652a25, a71a725e569c6fd02c94290cec94dd76f9baa095]",6,5,e34f1a9d77fb81c98ba365177a8fc7a8931b0247,0d265ca277c568d8b7ccb3671958be611259bb72,d6b770e57d18c40f3224ae2915396fbd5679d7a8
https://github.com/EFForg/action-center-platform.git,143,1,[0dd2913c54f2ba4333394cfd98e7b830d97ee5dc],10,3,0dd2913c54f2ba4333394cfd98e7b830d97ee5dc,aad3ce66fb7511ba76840713f4aea1adc513f42f,4b02c423e9ea2ddb577a0d978377f8f17cdea677
https://github.com/EFForg/action-center-platform.git,205,5,"[bcb1f40d4b0d824107caf3662bd8bd5b1f05f898, cea8eacb883a92dcefeeccfa5ba3bdefc8c0060d, 63d32c77884bdad6cb0dede97e95da9b746d9787, 468523d91d28408280fbc16b207b747fa69ebe7f, fdf266f22192d954b13359bb29460250e4c44fab]",8,2,bcb1f40d4b0d824107caf3662bd8bd5b1f05f898,f907350b9252160fc4673b3108b22e8d6e3cb106,d46e80f27fa23b078f7aae2367447b24d44147a8
https://github.com/EFForg/action-center-platform.git,225,2,"[c72d06d7bbf75b3f6082a0849b830a669b1be39c, a7f0d5036e476c1c1594b96ef3bb1e9f74b88248]",2,4,c72d06d7bbf75b3f6082a0849b830a669b1be39c,ad462bfacc672070c872a32be8d0ed9fe3088b39,89f2877cb51c33a980995967dffe7a0323122080
https://github.com/EFForg/action-center-platform.git,175,7,"[e841f9b1a9e9d2f7d73a09b569cc50d09090913f, 99e5bed463f53422150f575195a76cef47e76094, 4c35f767a5d9f45f4fb1cf9132fb1ff02e67c4cd, 149fe067eedc587175ea48183b26765b65cead8d, 139e485720ea81cad75a0519a19a49638f909cbb, c49522bfc87b423f82aa6e80b95c5150d80a7f00, 85ab15e6ce3bb10c23dabb819dcd7c55961141b0]",6,2,e841f9b1a9e9d2f7d73a09b569cc50d09090913f,537f230c54c9ba0b3cda201c3e2200a001553e4c,e03b3cd7e9f8e401919d147d094c16c2886bf405
https://github.com/EFForg/action-center-platform.git,200,9,"[e767212830a75e652e8ba5b826cc423bc0fb63fd, 1157e76536daeab46f24348826285c8a89a3d0d1, 6d29924be3580c0cd9afe371ca3353f05be73b1b, ca1b2be13133dd53fe18c7ca26f749719398b200, e5f6bbfa56b8cfd625b45e80500c0862cc5ae606, 52f5bbdc50f74bfbc6e602b47506797f427ee48b, 1a52bd315de472f68f152735d1efe1a2dd35879d, 0ab3c9497c1c21769990795d3964338fd0fda7d2, cb1e3d833252f5436f2018752303d1bb64e77604]",12,1,e767212830a75e652e8ba5b826cc423bc0fb63fd,6ce2b5697a6793040a8c3663e663cddb70131920,4be1376aa24f8ce05fa9e0d25111e2b01b16501a
https://github.com/EFForg/action-center-platform.git,206,1,[033046edce83229770fbb07b57b34a2752dfa7b1],11,1,033046edce83229770fbb07b57b34a2752dfa7b1,d0774d378571f3ce5a8aae2ccb9e99db37815e15,c2360f56486eeae9cfe5eb4e47604ef5b408f212
https://github.com/EFForg/action-center-platform.git,221,5,"[14b317cbb55a59716ba27ad65899bf09263e9541, 326b328eb3403df4e15d8fb792c607aefafe00e4, f252f7e0b3fcc44eb2f06fc59c331f5125d0d6e2, 94394320e87dbe9447789ad59c6547c4c6bd5502, 2ded8a9d224a59a685a715c1e8281723d443e3bd]",8,2,14b317cbb55a59716ba27ad65899bf09263e9541,3ccd41ca4e05ae81ab369d21bf62c32b0cac213b,b930a9b32e2dd371d0a76715ab37a0cd56af2285
https://github.com/EFForg/action-center-platform.git,129,1,[5690b98ad45f14cdf727949203640b0468eb3219],21,1,5690b98ad45f14cdf727949203640b0468eb3219,9cc84e40f3d0bfe2ff58e0a247241ebbf4623ff7,c6a69ccad2c889a08d0ab2073d8adc3c2f648395
